user_id,total_spend_virtual,total_no_purchases_virtual,first_gold_spend_date_virtual,last_gold_spend_date_virtual,number_of_purchase_days_virtual,preferred_product_virtual,average_spend_per_purchase_virtual
281505,43,3,2024-04-08,2024-04-19,3,Weapon,14.33
281507,199,4,2024-03-22,2024-03-26,4,Weapon,49.75
281509,15,1,2024-03-11,2024-03-11,1,Weapon,15.0
281510,50,3,2024-04-12,2024-04-14,3,Weapon,16.67
281513,11,1,2024-03-08,2024-03-08,1,Boost,11.0
281514,400,4,2024-03-07,2024-04-29,4,Boost,100.0
281515,12,2,2024-04-08,2024-04-22,2,Weapon,6.0
281516,201,9,2024-03-02,2024-04-24,9,Weapon,22.33
281517,2727,5,2024-03-15,2024-03-22,3,Weapon,545.4
281518,48,3,2024-03-13,2024-03-15,3,Weapon,16.0
281519,134,4,2024-04-06,2024-04-15,4,Weapon,33.5
281520,54,1,2024-03-21,2024-03-21,1,Weapon,54.0
281522,35,3,2024-03-23,2024-03-26,3,Weapon,11.67
281523,83,5,2024-03-22,2024-03-27,5,Weapon,16.6
281524,992,2,2024-04-21,2024-04-24,2,Gear,496.0
281525,34,3,2024-03-27,2024-03-29,3,Weapon,11.33
281526,889,23,2024-03-11,2024-04-22,23,Weapon,38.65
281527,75,2,2024-03-17,2024-03-20,2,Weapon,37.5
281529,48,1,2024-03-01,2024-03-01,1,Weapon,48.0
281531,97,3,2024-04-09,2024-04-11,3,Weapon,32.33
281532,30,1,2024-04-20,2024-04-20,1,Weapon,30.0
281537,99,2,2024-04-14,2024-04-20,2,Weapon,49.5
281538,111,6,2024-04-17,2024-04-25,6,Weapon,18.5
281539,99,3,2024-03-25,2024-03-28,3,Weapon,33.0
281542,49,2,2024-03-02,2024-03-15,2,Weapon,24.5
281544,100,1,2024-04-30,2024-04-30,1,Boost,100.0
281550,36,2,2024-03-16,2024-03-19,2,Weapon,18.0
281551,47,3,2024-03-21,2024-03-27,3,Weapon,15.67
281553,370,9,2024-03-05,2024-04-30,9,Weapon,41.11
281554,97,3,2024-04-19,2024-04-22,3,Weapon,32.33
281558,291,3,2024-04-02,2024-04-28,3,Boost,97.0
281562,233,7,2024-03-31,2024-04-10,7,Weapon,33.29
281563,5,1,2024-04-11,2024-04-11,1,Weapon,5.0
281564,79,4,2024-03-03,2024-03-17,4,Weapon,19.75
281567,106,4,2024-03-10,2024-04-03,4,Weapon,26.5
281568,40,4,2024-03-01,2024-03-11,4,Weapon,10.0
281569,60,3,2024-04-08,2024-04-12,3,Weapon,20.0
281571,877,15,2024-03-01,2024-04-22,15,Boost,58.47
281574,88,2,2024-03-31,2024-04-06,2,Weapon,44.0
281575,27,1,2024-04-14,2024-04-14,1,Weapon,27.0
281582,201,2,2024-03-15,2024-04-01,2,Weapon,100.5
281583,30,1,2024-03-04,2024-03-04,1,Weapon,30.0
281586,15,1,2024-03-01,2024-03-01,1,Weapon,15.0
281587,8708,2,2024-04-06,2024-04-13,2,Boost,4354.0
281594,45,2,2024-04-19,2024-04-21,2,Weapon,22.5
281595,5,1,2024-03-25,2024-03-25,1,Weapon,5.0
281596,89,2,2024-04-14,2024-04-15,2,Weapon,44.5
281599,105,2,2024-03-29,2024-04-01,2,Boost,52.5
281601,196,5,2024-04-16,2024-04-23,5,Weapon,39.2
281605,42,2,2024-03-17,2024-03-26,2,Weapon,21.0
281606,165,3,2024-03-04,2024-03-13,3,Weapon,55.0
281609,31,1,2024-03-08,2024-03-08,1,Weapon,31.0
281610,201,7,2024-04-19,2024-05-01,7,Weapon,28.71
281611,70,2,2024-03-07,2024-03-16,2,Weapon,35.0
281614,75,1,2024-04-03,2024-04-03,1,Weapon,75.0
281617,104,2,2024-04-02,2024-04-21,2,Weapon,52.0
281618,15,1,2024-03-02,2024-03-02,1,Weapon,15.0
281621,60,3,2024-04-17,2024-04-22,3,Weapon,20.0
281622,1,1,2024-04-17,2024-04-17,1,Weapon,1.0
281626,72,2,2024-04-10,2024-04-14,2,Weapon,36.0
281627,12,1,2024-04-14,2024-04-14,1,Weapon,12.0
281628,30,1,2024-03-15,2024-03-15,1,Weapon,30.0
281629,497,3,2024-03-31,2024-04-28,3,Boost,165.67
281632,86,7,2024-03-08,2024-03-24,7,Weapon,12.29
281633,35,3,2024-03-31,2024-04-03,3,Weapon,11.67
281634,33,3,2024-03-26,2024-04-02,3,Weapon,11.0
281636,58,2,2024-04-07,2024-04-29,2,Weapon,29.0
281637,78,2,2024-03-23,2024-03-25,2,Weapon,39.0
281638,73,1,2024-03-20,2024-03-20,1,Weapon,73.0
281641,49,3,2024-03-18,2024-04-04,3,Weapon,16.33
281643,42,2,2024-03-25,2024-03-26,2,Weapon,21.0
281644,200,2,2024-04-07,2024-04-12,2,Boost,100.0
281645,163,7,2024-03-19,2024-04-24,7,Weapon,23.29
281646,25,1,2024-04-07,2024-04-07,1,Weapon,25.0
281648,89,3,2024-04-14,2024-04-18,3,Weapon,29.67
281650,83,4,2024-03-02,2024-03-05,4,Weapon,20.75
281651,386,1,2024-04-06,2024-04-06,1,Boost,386.0
281652,184,6,2024-04-05,2024-04-13,6,Weapon,30.67
281653,99,1,2024-04-12,2024-04-12,1,Boost,99.0
281654,246,4,2024-03-09,2024-04-20,4,Weapon,61.5
281655,58,3,2024-03-07,2024-03-10,3,Weapon,19.33
281656,257,9,2024-04-10,2024-04-29,9,Weapon,28.56
281657,286,8,2024-03-24,2024-04-07,8,Weapon,35.75
281661,37,4,2024-04-13,2024-04-30,4,Weapon,9.25
281662,23,2,2024-04-17,2024-04-23,2,Weapon,11.5
281668,84,2,2024-03-08,2024-03-15,2,Boost,42.0
281669,28,4,2024-03-24,2024-04-04,4,Weapon,7.0
281672,90,4,2024-03-03,2024-03-09,4,Weapon,22.5
281673,15,1,2024-04-15,2024-04-15,1,Weapon,15.0
281674,33,4,2024-03-06,2024-03-12,4,Weapon,8.25
281675,55,4,2024-03-08,2024-03-11,4,Weapon,13.75
281676,44,2,2024-03-28,2024-04-02,2,Weapon,22.0
281678,10,1,2024-04-17,2024-04-17,1,Weapon,10.0
281680,68,4,2024-04-14,2024-04-22,4,Weapon,17.0
281683,27,3,2024-03-29,2024-04-11,3,Weapon,9.0
281684,15,1,2024-04-02,2024-04-02,1,Weapon,15.0
281686,89,3,2024-03-08,2024-03-18,3,Weapon,29.67
281687,60,4,2024-04-16,2024-04-24,4,Boost,15.0
281691,527,10,2024-03-27,2024-04-26,10,Weapon,52.7
281692,68,2,2024-04-12,2024-04-16,2,Weapon,34.0
281697,86,3,2024-03-12,2024-03-15,3,Weapon,28.67
281698,112,6,2024-03-26,2024-04-01,6,Weapon,18.67
281700,44,3,2024-03-06,2024-03-08,3,Weapon,14.67
281701,3,1,2024-03-27,2024-03-27,1,Weapon,3.0
281702,28,1,2024-03-01,2024-03-01,1,Weapon,28.0
281704,21,2,2024-03-08,2024-03-11,2,Weapon,10.5
281706,121,5,2024-03-21,2024-03-28,5,Weapon,24.2
281708,3,1,2024-03-11,2024-03-11,1,Weapon,3.0
281710,55,2,2024-03-21,2024-03-23,2,Weapon,27.5
281712,63,4,2024-04-09,2024-05-01,4,Weapon,15.75
281713,87,4,2024-03-24,2024-04-23,4,Weapon,21.75
281714,19,1,2024-03-09,2024-03-09,1,Weapon,19.0
281717,69,1,2024-03-23,2024-03-23,1,Boost,69.0
281718,30,1,2024-03-08,2024-03-08,1,Weapon,30.0
281719,25,2,2024-03-12,2024-03-13,2,Weapon,12.5
281723,307,4,2024-03-28,2024-04-15,4,Boost,76.75
281724,73,2,2024-04-08,2024-04-10,2,Weapon,36.5
281725,58,4,2024-03-03,2024-03-09,4,Weapon,14.5
281726,85,2,2024-03-30,2024-04-05,2,Weapon,42.5
281727,246,7,2024-04-06,2024-04-27,7,Weapon,35.14
281728,67,2,2024-03-15,2024-03-18,2,Weapon,33.5
281731,81,2,2024-04-10,2024-04-13,2,Weapon,40.5
281733,55,3,2024-03-19,2024-03-21,3,Weapon,18.33
281736,89,3,2024-03-10,2024-03-12,3,Weapon,29.67
281738,147,2,2024-03-20,2024-03-24,2,Boost,73.5
281739,649,3,2024-03-03,2024-04-04,3,Boost,216.33
281741,1388,23,2024-03-01,2024-04-28,22,Boost,60.35
281743,35,2,2024-03-16,2024-03-19,2,Weapon,17.5
281744,136,7,2024-03-06,2024-03-23,7,Weapon,19.43
281746,15,1,2024-03-29,2024-03-29,1,Weapon,15.0
281748,60,3,2024-03-16,2024-03-20,3,Weapon,20.0
281751,55,4,2024-03-12,2024-03-15,4,Weapon,13.75
281752,36,3,2024-03-24,2024-03-26,3,Weapon,12.0
281753,300,2,2024-03-15,2024-04-06,2,Boost,150.0
281757,60,2,2024-03-16,2024-03-20,2,Weapon,30.0
281760,15,1,2024-04-17,2024-04-17,1,Weapon,15.0
281762,9,1,2024-04-05,2024-04-05,1,Weapon,9.0
281763,303,2,2024-03-26,2024-04-20,2,Weapon,151.5
281768,137,4,2024-04-17,2024-04-27,4,Weapon,34.25
281769,41,2,2024-03-19,2024-03-25,2,Boost,20.5
281770,52,1,2024-03-20,2024-03-20,1,Weapon,52.0
281774,78,5,2024-03-18,2024-04-24,5,Weapon,15.6
281775,16,3,2024-03-06,2024-03-10,3,Weapon,5.33
281776,204,6,2024-03-19,2024-04-06,6,Weapon,34.0
281777,5273,21,2024-04-05,2024-04-28,15,Boost,251.1
281779,46,3,2024-03-30,2024-04-05,3,Weapon,15.33
281781,625,6,2024-03-02,2024-04-09,6,Boost,104.17
281783,182,3,2024-03-05,2024-03-17,3,Weapon,60.67
281785,55,2,2024-03-17,2024-03-18,2,Weapon,27.5
281786,253,9,2024-03-14,2024-04-13,9,Weapon,28.11
281787,100,1,2024-04-25,2024-04-25,1,Boost,100.0
281788,34,2,2024-04-05,2024-04-08,2,Weapon,17.0
281790,56,2,2024-03-21,2024-03-22,2,Weapon,28.0
281791,557,5,2024-03-10,2024-03-17,4,Weapon,111.4
281792,5,1,2024-03-15,2024-03-15,1,Weapon,5.0
281797,106,3,2024-04-06,2024-04-08,3,Weapon,35.33
281798,51,3,2024-03-15,2024-03-19,3,Weapon,17.0
281802,199,1,2024-03-24,2024-03-24,1,Boost,199.0
281805,104,4,2024-03-18,2024-03-29,4,Weapon,26.0
281811,25,2,2024-03-30,2024-03-31,2,Weapon,12.5
281814,80,4,2024-03-18,2024-03-22,4,Weapon,20.0
281815,25,2,2024-03-21,2024-03-22,2,Weapon,12.5
281819,915,10,2024-03-08,2024-04-10,10,Boost,91.5
281821,244,5,2024-03-24,2024-04-21,5,Weapon,48.8
281822,10,1,2024-03-19,2024-03-19,1,Weapon,10.0
281825,183,6,2024-03-28,2024-04-02,6,Weapon,30.5
281827,104,5,2024-03-29,2024-04-21,5,Weapon,20.8
281829,5,1,2024-03-14,2024-03-14,1,Weapon,5.0
281830,15,1,2024-03-04,2024-03-04,1,Weapon,15.0
281833,58,1,2024-03-08,2024-03-08,1,Weapon,58.0
281834,60,4,2024-04-17,2024-04-20,4,Weapon,15.0
281836,19,2,2024-04-22,2024-04-25,2,Weapon,9.5
281837,25,2,2024-04-19,2024-04-22,2,Weapon,12.5
281838,65,2,2024-03-31,2024-04-02,2,Weapon,32.5
281839,130,6,2024-03-22,2024-04-03,6,Weapon,21.67
281840,20,1,2024-03-06,2024-03-06,1,Weapon,20.0
281842,70,3,2024-04-09,2024-04-12,3,Weapon,23.33
281843,54,3,2024-03-21,2024-03-23,3,Weapon,18.0
281844,1120,3,2024-04-02,2024-04-03,2,Weapon,373.33
281848,47,3,2024-03-10,2024-03-23,3,Weapon,15.67
281850,5,1,2024-03-24,2024-03-24,1,Weapon,5.0
281854,104,4,2024-03-31,2024-04-05,4,Weapon,26.0
281858,64,3,2024-03-17,2024-03-21,3,Weapon,21.33
281859,90,3,2024-04-13,2024-04-21,3,Weapon,30.0
281861,101,4,2024-03-17,2024-03-23,4,Weapon,25.25
281862,20,3,2024-03-08,2024-03-11,3,Weapon,6.67
281865,130,3,2024-03-24,2024-04-28,3,Weapon,43.33
281866,131,3,2024-03-15,2024-03-18,3,Weapon,43.67
281869,204,10,2024-03-05,2024-03-18,9,Weapon,20.4
281870,111,5,2024-03-26,2024-04-04,4,Weapon,22.2
281872,69,1,2024-04-05,2024-04-05,1,Boost,69.0
281877,44,2,2024-04-19,2024-04-20,2,Weapon,22.0
281879,56,2,2024-03-28,2024-03-30,2,Weapon,28.0
281880,39,3,2024-04-13,2024-04-19,3,Weapon,13.0
281883,84,2,2024-03-07,2024-03-08,2,Weapon,42.0
281885,64,5,2024-04-03,2024-04-06,4,Weapon,12.8
281892,143,2,2024-04-16,2024-04-21,2,Weapon,71.5
281895,156,4,2024-03-21,2024-04-01,4,Weapon,39.0
281896,103,4,2024-04-06,2024-04-18,4,Weapon,25.75
281897,73,3,2024-03-30,2024-04-06,3,Weapon,24.33
281901,142,8,2024-03-09,2024-03-27,8,Weapon,17.75
281903,50,4,2024-04-10,2024-04-14,4,Weapon,12.5
281904,15,1,2024-03-07,2024-03-07,1,Weapon,15.0
281906,103,3,2024-04-16,2024-04-21,3,Weapon,34.33
281910,25,2,2024-04-13,2024-04-20,2,Weapon,12.5
281911,75,4,2024-03-24,2024-04-03,4,Weapon,18.75
281912,46,2,2024-04-05,2024-04-08,2,Weapon,23.0
281913,321,3,2024-03-31,2024-04-22,3,Weapon,107.0
281914,73,3,2024-04-09,2024-04-11,3,Weapon,24.33
281915,39,3,2024-03-02,2024-03-05,3,Weapon,13.0
281916,85,5,2024-03-05,2024-03-25,5,Boost,17.0
281917,38,2,2024-03-03,2024-03-15,2,Weapon,19.0
281918,55,4,2024-04-01,2024-04-03,3,Weapon,13.75
281919,563,7,2024-03-11,2024-04-27,7,Weapon,80.43
281920,802,9,2024-03-20,2024-04-19,9,Boost,89.11
281921,44,3,2024-03-25,2024-03-28,3,Weapon,14.67
281923,340,14,2024-03-27,2024-04-19,13,Weapon,24.29
281927,5,1,2024-03-11,2024-03-11,1,Weapon,5.0
281928,35,3,2024-03-05,2024-03-19,3,Weapon,11.67
281931,134,9,2024-03-31,2024-04-30,9,Weapon,14.89
281932,628,19,2024-03-14,2024-04-20,18,Weapon,33.05
281933,152,5,2024-03-23,2024-04-04,5,Weapon,30.4
281934,75,2,2024-03-27,2024-03-28,2,Weapon,37.5
281935,97,5,2024-03-15,2024-03-20,5,Weapon,19.4
281938,49,1,2024-04-06,2024-04-06,1,Boost,49.0
281943,249,7,2024-04-09,2024-04-28,7,Weapon,35.57
281944,79,2,2024-03-05,2024-03-11,2,Weapon,39.5
281945,25,2,2024-03-29,2024-04-13,2,Weapon,12.5
281946,121,6,2024-04-01,2024-04-12,6,Weapon,20.17
281947,35,2,2024-03-27,2024-03-29,2,Weapon,17.5
281949,50,2,2024-03-24,2024-04-01,2,Weapon,25.0
281950,75,5,2024-03-11,2024-03-25,5,Weapon,15.0
281951,15,1,2024-03-01,2024-03-01,1,Weapon,15.0
281955,99,1,2024-04-14,2024-04-14,1,Boost,99.0
281956,18,2,2024-03-07,2024-03-08,2,Weapon,9.0
281959,75,4,2024-03-18,2024-04-02,4,Weapon,18.75
281961,45,1,2024-03-30,2024-03-30,1,Weapon,45.0
281962,216,9,2024-03-07,2024-04-16,9,Weapon,24.0
281963,233,9,2024-03-02,2024-03-18,8,Weapon,25.89
281964,19,2,2024-03-08,2024-03-17,2,Weapon,9.5
281965,79,1,2024-04-07,2024-04-07,1,Boost,79.0
281966,9,2,2024-03-20,2024-03-25,2,Weapon,4.5
281967,69,4,2024-03-25,2024-04-01,4,Boost,17.25
281968,500,1,2024-03-03,2024-03-03,1,Weapon,500.0
281972,426,11,2024-03-15,2024-04-06,11,Boost,38.73
281973,33,2,2024-03-13,2024-03-16,2,Weapon,16.5
281978,155,2,2024-04-22,2024-05-01,2,Boost,77.5
281980,39,3,2024-04-20,2024-04-22,3,Weapon,13.0
281981,50,4,2024-03-12,2024-03-27,4,Weapon,12.5
281985,15,1,2024-04-08,2024-04-08,1,Weapon,15.0
281988,75,5,2024-04-16,2024-04-21,5,Weapon,15.0
281990,72,2,2024-03-01,2024-03-02,2,Weapon,36.0
281991,333,6,2024-04-06,2024-04-27,6,Boost,55.5
281992,185,6,2024-04-14,2024-05-01,6,Weapon,30.83
281993,69,2,2024-03-28,2024-03-29,2,Weapon,34.5
281996,29,1,2024-04-17,2024-04-17,1,Weapon,29.0
281999,100,1,2024-04-02,2024-04-02,1,Boost,100.0
282000,37,1,2024-04-22,2024-04-22,1,Weapon,37.0
282002,40,4,2024-04-01,2024-04-14,4,Weapon,10.0
282003,4,1,2024-03-28,2024-03-28,1,Weapon,4.0
282004,98,3,2024-03-27,2024-04-02,3,Weapon,32.67
282005,110,6,2024-04-14,2024-04-30,5,Weapon,18.33
282006,8,1,2024-03-26,2024-03-26,1,Weapon,8.0
282009,164,1,2024-03-28,2024-03-28,1,Weapon,164.0
282011,200,2,2024-04-12,2024-04-24,2,Boost,100.0
282012,20,2,2024-03-31,2024-04-01,2,Weapon,10.0
282016,653,11,2024-03-05,2024-04-17,9,Weapon,59.36
282018,73,4,2024-03-08,2024-03-11,4,Weapon,18.25
282021,15,1,2024-03-09,2024-03-09,1,Weapon,15.0
282022,6,1,2024-03-06,2024-03-06,1,Weapon,6.0
282025,50,3,2024-03-31,2024-04-04,3,Weapon,16.67
282027,47,1,2024-03-06,2024-03-06,1,Weapon,47.0
282028,12,2,2024-03-29,2024-04-13,2,Boost,6.0
282030,648,3,2024-03-03,2024-04-06,3,Boost,216.0
282032,400,3,2024-03-11,2024-03-27,3,Boost,133.33
282035,45,2,2024-03-15,2024-03-16,2,Weapon,22.5
282036,39,3,2024-04-06,2024-04-09,3,Weapon,13.0
282037,117,2,2024-04-06,2024-04-09,2,Weapon,58.5
282043,6,2,2024-03-14,2024-03-17,2,Weapon,3.0
282044,90,3,2024-03-09,2024-03-16,3,Weapon,30.0
282045,83,3,2024-04-20,2024-04-23,3,Weapon,27.67
282047,15,1,2024-03-03,2024-03-03,1,Weapon,15.0
282049,15,3,2024-04-03,2024-04-23,3,Weapon,5.0
282050,28,2,2024-04-03,2024-04-09,2,Weapon,14.0
282051,125,9,2024-03-16,2024-04-16,8,Weapon,13.89
282054,1038,6,2024-03-10,2024-04-26,5,Weapon,173.0
282056,100,1,2024-03-23,2024-03-23,1,Boost,100.0
282057,30,1,2024-03-23,2024-03-23,1,Weapon,30.0
282059,65,2,2024-03-01,2024-03-02,2,Weapon,32.5
282062,5,1,2024-03-14,2024-03-14,1,Weapon,5.0
282064,442,11,2024-03-24,2024-04-28,11,Weapon,40.18
282065,81,3,2024-03-08,2024-03-18,3,Weapon,27.0
282066,46,4,2024-03-15,2024-03-28,4,Weapon,11.5
282067,4,1,2024-03-20,2024-03-20,1,Boost,4.0
282069,180,9,2024-03-10,2024-03-26,9,Weapon,20.0
282072,50,3,2024-03-09,2024-03-15,3,Weapon,16.67
282080,26,2,2024-04-01,2024-04-09,2,Weapon,13.0
282082,49,2,2024-04-18,2024-04-19,2,Weapon,24.5
282083,182,1,2024-03-24,2024-03-24,1,Weapon,182.0
282085,75,5,2024-03-30,2024-04-10,5,Weapon,15.0
282086,300,2,2024-04-10,2024-04-18,2,Boost,150.0
282088,123,6,2024-04-18,2024-04-25,5,Weapon,20.5
282089,228,4,2024-03-04,2024-03-30,4,Weapon,57.0
282090,76,1,2024-04-07,2024-04-07,1,Weapon,76.0
282092,25,1,2024-03-16,2024-03-16,1,Weapon,25.0
282096,105,2,2024-04-09,2024-04-26,2,Boost,52.5
282099,65,3,2024-04-13,2024-04-17,3,Weapon,21.67
282100,98,2,2024-04-10,2024-04-11,2,Weapon,49.0
282101,23,1,2024-03-21,2024-03-21,1,Weapon,23.0
282103,40,2,2024-04-06,2024-04-08,2,Weapon,20.0
282105,150,3,2024-04-19,2024-04-23,3,Weapon,50.0
282111,14,1,2024-03-02,2024-03-02,1,Weapon,14.0
282113,117,5,2024-03-12,2024-04-07,5,Weapon,23.4
282114,30,1,2024-03-23,2024-03-23,1,Weapon,30.0
282118,47,3,2024-03-14,2024-03-17,3,Weapon,15.67
282123,6,1,2024-03-25,2024-03-25,1,Weapon,6.0
282124,394,3,2024-03-18,2024-03-19,2,Weapon,131.33
282125,31,2,2024-04-03,2024-04-04,2,Weapon,15.5
282126,1595,3,2024-04-12,2024-04-13,2,Weapon,531.67
282127,88,6,2024-04-11,2024-04-27,5,Weapon,14.67
282128,189,5,2024-03-28,2024-04-21,5,Weapon,37.8
282130,55,2,2024-04-06,2024-04-13,2,Weapon,27.5
282133,51,3,2024-04-15,2024-04-17,3,Weapon,17.0
282134,5,1,2024-03-14,2024-03-14,1,Weapon,5.0
282135,547,4,2024-03-09,2024-03-11,3,Weapon,136.75
282137,40,1,2024-03-30,2024-03-30,1,Weapon,40.0
282138,15,1,2024-03-07,2024-03-07,1,Weapon,15.0
282139,50,2,2024-03-14,2024-03-16,2,Weapon,25.0
282140,67,2,2024-03-04,2024-03-05,2,Weapon,33.5
282142,6,1,2024-03-13,2024-03-13,1,Weapon,6.0
282146,236,6,2024-04-09,2024-04-16,6,Weapon,39.33
282147,758,8,2024-03-05,2024-04-26,8,Weapon,94.75
282148,585,17,2024-03-03,2024-03-22,17,Weapon,34.41
282149,119,5,2024-03-24,2024-04-28,5,Weapon,23.8
282151,15,1,2024-03-26,2024-03-26,1,Weapon,15.0
282155,172,4,2024-04-06,2024-04-30,4,Weapon,43.0
282156,100,4,2024-03-20,2024-04-06,4,Weapon,25.0
282157,85,5,2024-04-06,2024-04-18,4,Weapon,17.0
282163,100,3,2024-03-31,2024-04-02,3,Weapon,33.33
282165,124,4,2024-04-02,2024-04-06,4,Weapon,31.0
282166,146,6,2024-04-14,2024-04-22,6,Weapon,24.33
282168,40,2,2024-03-16,2024-04-11,2,Weapon,20.0
282169,849,5,2024-04-06,2024-04-19,4,Boost,169.8
282170,210,4,2024-03-31,2024-04-28,4,Weapon,52.5
282171,41,4,2024-04-03,2024-04-10,4,Weapon,10.25
282174,66,4,2024-03-15,2024-03-18,4,Weapon,16.5
282175,100,1,2024-03-01,2024-03-01,1,Weapon,100.0
282177,55,2,2024-03-11,2024-03-16,2,Weapon,27.5
282184,162,4,2024-03-12,2024-04-10,4,Weapon,40.5
282190,73,2,2024-03-31,2024-04-01,2,Weapon,36.5
282192,17,3,2024-03-03,2024-03-14,3,Weapon,5.67
282193,50,3,2024-03-15,2024-03-27,3,Weapon,16.67
282194,35,3,2024-03-10,2024-03-15,3,Weapon,11.67
282196,179,5,2024-04-02,2024-04-26,5,Weapon,35.8
282197,218,7,2024-03-08,2024-04-24,7,Weapon,31.14
282198,15,1,2024-03-30,2024-03-30,1,Weapon,15.0
282199,135,6,2024-03-25,2024-04-09,6,Weapon,22.5
282203,45,3,2024-04-02,2024-04-09,3,Weapon,15.0
282206,100,1,2024-03-24,2024-03-24,1,Weapon,100.0
282208,65,2,2024-03-23,2024-04-10,2,Weapon,32.5
282210,15,1,2024-03-23,2024-03-23,1,Weapon,15.0
282211,10,1,2024-03-25,2024-03-25,1,Weapon,10.0
282213,51,1,2024-03-12,2024-03-12,1,Weapon,51.0
282217,99,1,2024-03-22,2024-03-22,1,Boost,99.0
282218,1101,20,2024-03-01,2024-04-12,18,Weapon,55.05
282220,67,1,2024-03-03,2024-03-03,1,Weapon,67.0
282221,32,2,2024-03-17,2024-03-21,2,Weapon,16.0
282223,47,3,2024-03-19,2024-04-09,3,Weapon,15.67
282224,6,2,2024-03-22,2024-03-23,2,Weapon,3.0
282225,65,3,2024-04-03,2024-04-13,3,Weapon,21.67
282226,128,5,2024-03-25,2024-04-07,5,Weapon,25.6
282227,37,2,2024-03-02,2024-03-02,1,Boost,18.5
282229,104,3,2024-03-11,2024-03-18,3,Weapon,34.67
282230,18,2,2024-03-06,2024-03-09,2,Weapon,9.0
282231,60,2,2024-04-14,2024-04-15,2,Weapon,30.0
282234,115,2,2024-04-06,2024-04-12,2,Boost,57.5
282236,55,2,2024-03-13,2024-03-15,2,Weapon,27.5
282237,20,1,2024-04-03,2024-04-03,1,Weapon,20.0
282241,35,3,2024-04-17,2024-04-22,3,Weapon,11.67
282242,58,2,2024-03-11,2024-03-12,2,Weapon,29.0
282244,22,3,2024-03-20,2024-03-24,3,Weapon,7.33
282245,125,3,2024-03-27,2024-04-07,3,Weapon,41.67
282246,63,3,2024-04-04,2024-04-09,3,Weapon,21.0
282248,49,1,2024-03-01,2024-03-01,1,Boost,49.0
282249,10,2,2024-03-29,2024-03-30,2,Weapon,5.0
282251,110,5,2024-04-13,2024-04-17,5,Weapon,22.0
282253,56,2,2024-03-19,2024-03-20,2,Weapon,28.0
282254,59,2,2024-03-02,2024-03-03,2,Weapon,29.5
282255,20,1,2024-03-08,2024-03-08,1,Weapon,20.0
282257,50,4,2024-03-19,2024-03-29,4,Weapon,12.5
282258,25,1,2024-03-23,2024-03-23,1,Weapon,25.0
282259,252,13,2024-03-16,2024-04-18,11,Weapon,19.38
282260,50,2,2024-03-24,2024-03-26,2,Weapon,25.0
282264,69,1,2024-03-11,2024-03-11,1,Boost,69.0
282265,100,1,2024-04-12,2024-04-12,1,Boost,100.0
282268,140,2,2024-03-02,2024-03-03,2,Boost,70.0
282272,5,1,2024-03-29,2024-03-29,1,Weapon,5.0
282273,117,1,2024-04-01,2024-04-01,1,Boost,117.0
282275,68,2,2024-03-21,2024-04-02,2,Weapon,34.0
282276,104,3,2024-03-21,2024-03-24,3,Weapon,34.67
282277,84,7,2024-03-06,2024-03-25,7,Weapon,12.0
282279,25,1,2024-04-13,2024-04-13,1,Weapon,25.0
282280,130,2,2024-04-07,2024-04-08,2,Weapon,65.0
282281,49,3,2024-03-28,2024-04-02,3,Weapon,16.33
282283,50,4,2024-03-03,2024-03-16,4,Weapon,12.5
282284,206,11,2024-03-28,2024-04-30,11,Weapon,18.73
282285,59,2,2024-03-17,2024-03-20,2,Weapon,29.5
282287,509,3,2024-04-08,2024-04-25,3,Weapon,169.67
282288,26,3,2024-03-14,2024-03-17,3,Weapon,8.67
282289,80,4,2024-03-20,2024-04-19,4,Weapon,20.0
282290,500,1,2024-03-02,2024-03-02,1,Weapon,500.0
282291,95,4,2024-03-04,2024-04-01,4,Weapon,23.75
282292,553,6,2024-04-02,2024-04-08,4,Weapon,92.17
282293,277,7,2024-04-12,2024-04-26,7,Weapon,39.57
282294,15,1,2024-03-07,2024-03-07,1,Weapon,15.0
282295,41,2,2024-03-21,2024-03-22,2,Weapon,20.5
282296,30,1,2024-03-17,2024-03-17,1,Weapon,30.0
282299,38,3,2024-04-06,2024-04-11,3,Weapon,12.67
282300,98,2,2024-04-19,2024-04-20,2,Weapon,49.0
282305,16,1,2024-03-30,2024-03-30,1,Weapon,16.0
282306,58,4,2024-04-02,2024-04-11,4,Weapon,14.5
282307,212,3,2024-04-12,2024-04-26,2,Boost,70.67
282308,156,6,2024-03-12,2024-03-28,6,Weapon,26.0
282309,45,1,2024-03-16,2024-03-16,1,Weapon,45.0
282311,54,2,2024-04-02,2024-04-03,2,Weapon,27.0
282312,198,1,2024-04-14,2024-04-14,1,Boost,198.0
282313,17,2,2024-03-31,2024-04-03,2,Weapon,8.5
282316,94,2,2024-04-07,2024-04-08,2,Weapon,47.0
282317,18,1,2024-04-16,2024-04-16,1,Weapon,18.0
282318,47,2,2024-03-19,2024-03-20,2,Weapon,23.5
282321,124,4,2024-04-17,2024-04-20,4,Weapon,31.0
282322,85,3,2024-04-04,2024-04-09,3,Weapon,28.33
282328,165,6,2024-03-25,2024-04-10,6,Weapon,27.5
282330,100,1,2024-03-17,2024-03-17,1,Boost,100.0
282331,145,6,2024-03-21,2024-03-26,6,Weapon,24.17
282332,38,2,2024-03-31,2024-04-01,2,Weapon,19.0
